0	1
جقی	wanker, masturbator
ﯾﻪ ﭼﺸﻤﮏ ﺑﻬﺶ ﺯﺩﻡ	I winked at him
عینکمو دادم پایین	l lowered my glasses
mayus shodand	they were disappointed
سهامی خاص	private joint stock
الحاقیه قرارداد	addendum to contract
ستاد مبارزه با مفاسد اقتصادی	Anti-Economic Corruption Headquarters/Center
ببین تفاوت ره کز کجاست تا به کجا	look how great the difference is between the two ways; it is from where to whence
پشمام سوخت	I was stunned; I was shocked; I froze
ممه فریال	Feryal's boob, Feryal's tit
تقى به توقى مى خوره	as soon as something trivial or unimportant happens, at the drop of a hat
چوب تر	severe or strict punishment; not sparing the rod (lit. a wet stick)
مسائل جزئی و خرد شهری	minor urban issues, trivial urban issues
منبر سه پله	three-step pulpit
خودروی صفر	a brand-new car; a car with zero miles on the odometer
رشته ای بر گردنم افکنده دوست؛ می کشد هر جا که خاطر خواه اوست	The Friend (God) has tied a rope around my neck, and He pulls it wherever He wants
از سیر تا پیاز	from A to Z, from soup to nuts, everything about ...
هان بیکاری؟	What? Don't you have anything else to do?
پیله نکن	don't pester me; stop it
گوش شیطان کر	knock on wood (used to prevent the evil eye)
شتر در خواب بیند پنبه دانه	you wish, when pigs fly (the cat dreams of mice, lit. a camel dreams of cottonseed)
مرده شور جفتشون رو ببره	damn both of them
صعب روزی بوالعجب کاری پریشان عالمی	such tough times in which strange phenomena occur and pain and suffering spread everywhere
خاطی ندارد	it doesn't matter, it makes no difference
مگه کشکه	Is it so easy?! Nonsense!
کش	rubber band
گولم میزد	would have tricked me
رنج حقوقی	salary range
؟ رانت	Economic rent
حیله شرعی	Legal ruse
گوارا باشد بر شما که آرامش دارید	enjoy this peace (may this peace be pleasant to you)
قلم	pen
سطر	line
حرا	Hira (a cave near Mecca where Muhammad first received revelation from God through the angel Gabriel)
الفت	fondness, affection, friendship, intimacy
نیروهای دست اولشان	their first-rate, elite, frontline forces
نگرش حذفي ?	elimination-based attitude
رواله	It's cool
آره اوکیه	Yeah, it's OK
رأفت	kindness, compassion, affection
به مرور زمان	with the passing of time, gradually
نوشدارو بعد از مرگ سهراب	the damage is done; it's too late (after death, the doctor)
...نقش	is like...
پاى بند	foundation
Harke ro tavus khahad, jur-e hendustan keshad	He that would have fruit must climb the tree
اخه صدات مگه به جایی هم ميرسه؟	Will your voice even be heard?
نقش خود را به رخ جامعه بکشند	flaunt their role in society's face
ما بی‌زمان شده‌ایم	we have lost the sense of time
دم اسبی	ponytail
دعا نویس	writer of amulets and prayers
قائم	the agent of the righteous; the establisher of justice; the Self-Subsisting (the Hidden Imam)
نفس زکیه	pure soul
مسلمانان را به گرد خود می آورد	to gather / bring together Muslims
رفع حاجت	bowel movement
نمازهایم قضا شده است	I've lost the chance to say my prayers
علاقه وافری	great interest, enthusiasm
معمم	turbaned, belonging to the Muslim clergy
کد طلبگی	seminary student ID number or code
با یه من عسل هم نمیشه خوردش	he's not such a friendly guy (lit. you couldn't get him down with a bucket of honey)
جزوه	lecture notes
خروش از خم چرخ چاچی بخاست	the bow and arrow made a very loud noise
خونه ای ایلاتی از اییلاق تا قشلاقه.	Tribesman's house extends from his summer- to his winter quarter
اقامه نماز کردن	to lead the prayer, to hold prayers
نثار کردن	to present something, to bestow upon
طرح‌های آبرسانی	irrigation / water supply plans
he had worked on him, he had buttered him up	مخش رو کار گرفته بود
هله هولهٔ	junk food
رفاه نسبى	relative well-being
گومبول	chubby (fat in a pleasant and attractive way)
نینی	baby, babe
دو هیچ به نفع احمدی‌نژاد	two-nothing (score) for Ahmadinejad
هی رد میشدن	kept passing by
چیزی باب میل شما پیش نمی رود	something doesn't go the way you want, something doesn't go your way
لاک دفاعی	protective shell
درست درمون	expert, seasoned, veteran, pro
اونوخ	while, whereas
رییسم فرو کرده بود که کار داریم	my boss insisted that we have something to be done
از دوری کسی ناراحتید	you are unhappy because someone is far away
مطالعات تطبیقی	comparative studies
چشم غره رفت	glared
از هم نپاشیدن هنره	not falling apart / not being demoralized is an art
زلم زیمبوی	tawdry jewelry, old and cheap jewelry
دون پاشیدن	to trick or deceive someone (lit. to scatter seeds around)
لامصب	(Indicates disbelief in what has just been said)
راننده سرویسم	my shuttle service driver
زدن برجک آیت‌الله منتظری	undermining Ayatollah Montazeri's position
دستش به دهنش می رسد	he is well-off / affluent; he is not in need
فی نفسه	inherently, in and of itself, per se
سنوات	years (of military or other service that qualifies someone for benefits or severance), seniority
نیایش و ادبیات نیایشی	invocation and devotional literature
گرایش مدیریت و برنامه ریزی آموزشی	specialising in management and curriculum planning
مینالن	complain, grumble, bitch
نور به قبرش	may God bless him (lit. may light shine on his grave)
میکنه تو خودش	keeps it all inside, keeps it bottled up, keeps it to himself
آلام	Pains, afflictions
پشم و پیل ریختن	to get old and gray (lit. to lose one's hair)
پر و پاچه	legs
مهره‌ ها	game pieces (e.g., chess or backgammon)
نان ناشتای	breakfast
سینه قبر	the middle of a graveyard / cemetery
خط و خبری از آنها پیدا نشود	there is no sign or trace of them
Be delam barat shode...	Something tells me that...
بی هوا	suddenly, unexpectedly, carelessly
تناس بر لبها می بندد	the mouth closes itself to the lips (the mouth isn't willing to utter words anymore)
چمبر شدن	to curl up, to squat
در دستور کار قرار گرفتن	be put on the agenda
همسو کردن	aligning ... with ...
حاکم	Governing
دستت رو شده	You've given yourself away; I can see through you now; you've shown your cards
یه بام و دو هوا	Double standard
تا خرتناق خوابیدم	I way overslept
کارایی	efficiency
مقامات اصلی	main authorities
بررسی	analyzed/analysis/examined
دریافت	received/ collected/ reception
حوزه فعالیت	field/area of activity
دم کنی	rice steamer cover
دعای کدام مادر مستجاب خواهد شد؟	Which mother's prayer will be answered?
نمک	Humor, jokes, one-liners
یه عالمه	many, a lot, a ton
همش زیر سر توئه	you are the cause of all this; it's all your fault; you are responsible for this
slack-based measure	ﻧﺪﺍﺯﻩ ﮔﯿﺮﯼ ﻣﺒﺘﻨﯽ ﺑﺮ ﻣﺘﻐﯿﺮﻫﺎﯼ ﮐﻤﮑﯽ
منحرف شدن	deviating from
event windows	پنجرۀ رویداد
proxies	وكالت‌نامه‌/وكالت‌نامه‌ى رأی
رسالت	mission
salt-assisted	به کمک نمک
دوستدار طبیعت	nature-lover, environmentalist
مصرف پایه	minimum consumption
ماتریس جذابیت-توانمندی	attractiveness-capability matrix
بر لب جوب	beside the stream, by the stream, at the bank of the stream
ديوصا	Bastards, jackasses, SOBs (lit. cuckolds; nerveless, effeminate men)
تا به جد ننه بابات نرسونن ول نميكنن	until they tell everybody and his cousin/uncle (lit. your great-grandfather)
به ى عدل يونجه	For nothing (lit. a bale of alfalfa)
جهت ساز	guiding
iodide-promoted	غنی‌شده با یدید (آنیون ید)
ما را كه تو منظورى، خاطر نرود جايى	as long as you're in my mind / heart, I can't think of anything else
عابر بانک	ATM
havas parti	distractedness, absent-mindedness, being scatterbrained
chachaheh	chattering
Sar o kale	Evidence of, traces of
Vamunde	Low-life, loser, good-for-nothing, scum
ba una jik o buk dare	he's connected or associated with them (cheek-to-cheek)
کون	ass, asshole
مرحله پيش توسعه	pre-development stage
تعرفه هاي گمركي	customs tariffs
پاداش	discount
to go to completion	کامل شدن فرایندِ
حالیش نیست	doesn't know what's what, doesn't know the first thing about something, clueless
والله علی کل شئ علیم	And Allah is Knowing of all things
ادا اطواری	stuck-up, moody, fussy, prissy (high-maintenance)
جهت دهي	Giving direction
نظام نامه	bylaw
بانک اطلاعاتی	Database/ information bank
ageh pa dad	if the situation demands it; if it so happens
راهبرد کلان	grand strategy
دستیابی به	attaining (positions)
سند چشم انداز	vision plan
تا با....	so that they may/can....
جمله اخلال	error term
داداش	Brother, bro
کف و خون بالا آوردم	I was shocked; I felt sick to my stomach (more lit., I threw up blood and bile)
احمق فرض شدن	to be taken for a fool, to be regarded as a fool
کاشف به عمل اومد	It turned out that
نمیشه روشون حساب کرد	you can't count on them; you can't rely on them
Khasis bazi dar nayar	Don't be so stingy, don't be such a scrooge
Tizhoosh	School for gifted students
در مقاطع	level
Patil	Blind drunk, piss drunk, blitzed
برآورد الگوی تجربی رشد اقتصادی ایران	Estimation of/estimating the empirical pattern of Iran's economic growth
ورود به عرصه تجارت الکترونیکی	(one\'s) entry into e-commerce
تنگ میکنم	I get my ass in gear, I fasten my belt, I put my back into it
بپيچ ميبرم	wrap it / box it, to go
بگا رفت	fucked up
گولاخ	humongous, giant
اول رابطتون	At the beginning of your relationship
نفيثه	Nafiseh (a proper name)
ممرضا	Mohammad Reza (a proper name)
عقده ای	crazy, demented, frustrated, obsessed
میخوای حالیت نیس	you want it, you just don't realize it
اشتغال زایی	job creation
اساس	basis, foundation
ریدم تو این سرعت اینترنت	fuck this internet speed, shit on this internet speed
رهسپارم به سویت	I am heading toward you
چش بود؟	What was wrong with him? What was his problem?
هيكل	physique, build, body
كچلا	bald person
مرد جنگی سواره نظام	cavalryman; a competent or capable man
پایا	Automated Clearing House, or ACH (سامانه اتاق پایاپای الکترونیک)
خداوکیلی	swear to God, honest to God (more lit., God as my witness)
كسی به من سر نميزند نیست	no one drops by, no one visits me
اما نه به نرمی تو	But not as leniently or complacently as you do
کن فیکون شده	finished, ruined, destroyed, wiped-out
داره زر زر میکنه	babbling, talking gibberish
بالای حکم کسی حرف زدن	to disobey, ignore, violate, or countermand someone's order
خودش را کنف کرده	embarrassed himself
نک و نالی	Whining, moaning, complaining
دنگ گرفتن	To feel like doing something; to take a fancy to doing something; to have a tendency to do something
لایه نشانی	Deposition
ماده توده	bulk material
باری به هر جهت	Scattershot, perfunctory, cursory, haphazard
سایت گردشگری	tourism sites=locations
نره خر	jackass, a fool or stupid person, a big, uncouth man
اشکم دم مشکمه	I'm on the verge of tears
سیاست جنایی افتراقی	differential criminal policy
بالادستی	high level documents
!زرشک	Humph! What a thought!
بلغور شعريات	talking nonsense, cock and bull story
اسفند برشته	burned seeds of the wild rue (esfand), a wild plant burned in order to ward off evil spirits in Iran
بر پایکوب نعل بلا گریه می کند	crying over the downtrodden under the iron heel of calamity
خط پیر جماران	the ideology of the Old Man of Jamaran (Imam Khomeini; Jamaran is the street where he lived in Tehran)
محمل	camel litter, palanquin
خاک کرب و بلا	the land of affliction and calamity (Karbala)
در کرانه بلا	on the edge (lit. coast) of disaster
بی تابی امانم را گرفته	restlessness overtook my security
history of individual Iranian ethnic communities	تاریخ تک تک/منحصرفرد جوامع قومی ایرانی
پدافند غیرعامل	Passive Defense
نسبتامون رو مرور میکنیم	we go over our relationships
دلم هری ریخت پایین	my heart sank
خیال میکنی راش میدادن؟	Do you think they would let him in (accept him)?
زوج درستی هستیم	we are a well-matched couple
نیشکر درو میکنه	harvests sugarcane (hacks down sugarcane with a knife)
تو دست و بالمون	at hand, available
کاسب چکو میکشه و درمیره	A merchant writes a check and then disappears
توروخدا	For God's sake
Khialet takht	Rest assured
موی چتری	bowl-cut hair (bangs)
سر به نیست کردن	to disappear (from the face of the earth), to fizzle out
يه سازی ميزده	would play an instrument
آهنگ ... از نوع دنيا ميخوام پياده شمه	it's the kind of I want to get off the world ... song
گیر دادن به کسی	to have a problem with someone; to have a bone to pick with someone
شاخ	excellent, good, correct
به در	tit-for-tat
نیم فاصله	half-space, zero-width space (e.g., in گل‌ها)
بگو کاری بکن، اگر نکردم	Tell me to do something, do it, I would; or, Tell me to do something, do it, I will
Ayn-e hulu	Beautiful, good, interesting (a real peach)
گوتو بخور	mind your own business; don't butt in
pa suz (kasi) budan	to be love-stricken (with someone), to be madly in love (with someone)
بچه دومی بودیم که مرد بار اومدیم	Being the second child made men out of us (caused us to grow up like men)
ماحمیت	Mahmit (a proper name)
حکم زنا داره	it's considered like committing adultery
گاز اول	the first bite
گفتن نداره	It goes without saying, better not to say it
Jun bekan	Put your back into it, shake a leg
Amrika khavaremianeh ro ez kaf dade ast	America has lost its grip on the Middle East
Juje halite?	Got it, punk?
باغت آباد شه انگوری	Grape growers, may your vineyards be prosperous (with these lovely grapes)! Or, May you be prosperous!
Hesabi oftadi tu zahmat ha	That's too much trouble for you; you've gone to a lot of trouble
Ahl-e bakhieh	An insider, someone who is knowledgeable / well-versed in a particular area; or a junkie, drug addict
Asl-e mojera ro beriz ruye dayere	Get straight to the point, don't beat around the bush, spit it out
صورتحسابگیری	billing/invoicing
eynohu simorgh mi resam	I'll be there in an instant (like the sudden appearance of the Simorgh in the Shahnameh)
rast o pust kande begu	say it straight out and barefaced (lit. with the skin pulled off)
asl-e kari	the main thing or item
بسوزه عاشقی قسم	swear by the burning heat / pain of love
لیموی پرآبی که می مکی	a juicy lemon that you suck
بازش یابی	regain it, recover it
مرگ را به دست سوده ام	I have touched death with my hands
خريدار ندارد	has no buyers or takers
جاى او خاليه	His absence is felt; He is missed (here); I wish he was here
به زعم من	in my opinion
آدم درست حسابی	decent, respectable, stand-up guy or person
خيلى نزنيد تو سر مال	don't talk down to or belittle me (don't criticize the merchandise so much)
ثنای حق	praise of the Almighty
دکه	kiosk
صدرنشین	front-runner
Che gonah karde pa suz-e man bashe?	What has he done to deserve being madly in love with me?
Cheshmet roshan	Congratulations; I'm glad to hear that
یک مشت سگ داعشی ریختند	a bunch of Da'eshi dogs spread out
ایول	Way to go! Right on! Nice move! (ای ولله)
منسجم	integrated
کندوی عسل	honey, sweetheart (lit. honeybee hive)
دستمایه شوخی	an object of ridicule
ماکت	Mock-up, model, replica
کلان	macro-level
جهت گیری	orientation
پروژه ای	project
اجرایی	executive
به تخمم	I don't give a rat's ass; I don't give a flying fuck
خارخارک	kharkharak (a brand of body scrubbing brush)
کار و مکافات	toil and trouble
با کسی قهره	isn't talking with or is avoiding someone (because they've been offended)
اسباب کشی	moving (to a new house/home)
تودماغی	nasally, nasal twang (lit. through the nose)
پتانسیل سنجی	Potential analysis
مشخصه یابی	Characterizing
افق	horizon
داده برداری	Data collection / gathering
be omid-e didar	hope to see you, see you soon, so long
فیو	fave (short for favorite)
تخمک	ovum/ovule
با بدان یار گشت	became a friend of bad people, associated with bad people
یه دور	once, one time
one’s own identity	هویت اصلی فرد
در راستای	in accordance with
دزدی با چراغ آمده	An old hand burglar, a dab hand burglar
آمریکا را بزک می کنند	make America look good, whitewash America
dast balaye daste man	the shoe is on the other foot, the biter is bitten, someone else has the upper hand
eshghe to ez ro havase	your love is just a whim
Yeki dige	Someone else, another person
Kham be abrut nemiamad	You didn't bat an eyelid
شما از رو نمیرید	you are as bold as brass
دست اندرکاران	Those involved
... ez sararoush mibare (از سرو روش می باره ...)	he just oozes ...
Elahi man duresh begardam (الهی من دورش بگردم)	I adore him so much, I love him so much, I feel so proud of him (lit., “God willing I will worship him”)
Be karetun beresid	Go back to work; go back to what you were doing
sarvar	boss, leader, lord, master (someone highly-respected)
gandi	screw-up, mess-up
نائب گرفتن	to have a substitute perform the Hajj by proxy
غربال کردن	to sort out, to screen, to winnow out, to separate
دفتر و دستک	notebooks and ledgers
منشن	mention
متولی	the performing authority
در همین راستا	Accordingly
درون زا	Endogenous
زرت زرت	Again and again, constantly, continuously
Migam nare, migi bedush	You can pull and pull, but you can't milk a bull
میاد قلنجمو میشکونه	he comes and cracks my joints
سمتم نیا کلن	don't come over to me at all, leave me alone
صورتت گارد داره	You seem intimidating
Deki!	Hooey!
Jadow o janbal	Black magic
kam kam degh kard o mord	he slowly died of a broken heart
Monshayt	Your secretary
دو قورت و نیمتم باقیه	(Used to describe someone who expects much more than they are due under the circumstances)
Daghoun kardan	To break, to ruin, to destroy
ظرفیت سازی	Capacity building
خدا آدمو محتاج هیچ کس نکنه حتی خودش	May God not make any person dependent on another, not even on himself
روکار	above-ground
دریا کردن دل	to be generous, big-hearted
سوتی	goof, silly mistake
دو قرون	two cents
بدبخت سه عالم	extremely miserable (lit. miserable in three worlds - donya, borzakh, and akharet)
بند گیسو وا کردن	to let one's hair down (lit. to untie / undo your hair)
يه چيزی بذار بيارزه	upload something worth watching
تاکسی دربست	private/non-shared taxi
خوش به حالش	good for him, lucky for him
به قصد کشت	to the limit, to the extreme (lit. with intent to kill)
هی	keeps... (intensifies the continuous nature of the verb)
ما ازوناش نیستیم	We are not those kind of people; we are not like those people
کنایه آمیز	sarcastic, sardonic
نازنین	Nazanin (a proper name)
زیاده روی کردن	to overdo something, to go too far
حواسم جای دیگس	my mind is elsewhere; I'm distracted
کس شعر	damn, fuck, bullshit
جیبی	pocket-sized
دادن	having sex, putting out
شله زرد	saffron rice pudding (a votive offering)
دارم کظم غیض میکنم	I'm controlling my wrath/restraining my anger
حشر پسر دارم	I'm horny for boys; I'm into boys
جنده	bitch, hooker, whore
پول چارتا سیگاره	money for four (packs of) cigarettes
زید	squeeze (girlfriend)
فلانطور نشه صلوات	say a prayer (salawat) so nothing bad happens
در عالم هپروت	in a daydream, in a daze
کول پنداری	a way he thought he'd look cool (cool-like)
داف	attractive, beautiful
از پس فلان برنمیاید	you can't handle so-and-so; you can't deal with so-and-so
جاکش کافر	infidel pimp
یه مو بینش فاصله اس	only a hair separates them
دختر لات و ولویی	a fast and loose girl
دسته عزاداری هیات سقا	sagha mourning procession (during Muharram)
آواز شقایق	song of the poppy
درش آوردن	To remove it, to take it out
عه عه	Uh-oh
متولیان امر	the authorities
برای یه مشت گلابی	for a bunch of idiots (lit. pears)
برای خودش کسی شده	he's become a somebody
تار عنکبوت	spider's web
کارت پخش کردن	to hand out (advertising) cards or flyers
آمپول زدن	to give an injection, to give a shot
فازش چیه؟	What planet is he on? What is he babbling about?
طرف تیر بخوره	someone is gunned down/picked off
با نصف محل	with half the neighborhood
هنگه هنگه	it's hanging/crashing
بام پرواز	flight roof, landing roof
هوا متعادل شد	the weather cleared up
دلم رفت کربلا	my heart winced, I felt sad / miserable (lit. my heart went to Karbala, I missed being at Imam Hossein's shrine in Karbala)
بحث کردنای الکی	useless haggling, frivolous arguments
اصن ی وضعی	What an embarrassing situation! (اصلا یک وضعیتی است)
دلم قرص می شود	I feel relieved, comforted, warm and fuzzy
خر ذوق شدن	to become extremely thrilled by something, to love something
دان میشه	it goes down
قیمه من گوشت نداشت	my stew didn't have meat
چسناله	pissing and moaning, whining
جنستون	your stuff
گوشی	cell phone, smart phone, mobile phone
گشادم	I'm a lazy ass
باز تا صب سگ لرز میزدم	I still shivered like a dog until morning
همه برن	everyone can/shall go
داد کسی درآمدن	to complain about something
در جوی حقیری	in a little / small stream or brook
مفت بخشيدن	to give something for free
بخاطر بسپار	remember, bear in mind, keep in mind
محتاطانه گام برداشتن	to tread carefully
صرف با شماست اگر	it's more economical for you if, it's in your benefit if
گله به گله	everywhere, in various spots
هیچگاه هم آغوشی هایت را با عشق مقایسه نکن	Never confuse sex with (true) love
عهد بوقی	antiquated, outdated, obsolete
تا دیر زمانی	for a long time, for ages / years
چگور پگور	cool, hip, trendy, lovely
دختر سر راهی	an abandoned girl, a doorstep baby, a foundling
این جوری از آب درآمده	it turned out this way, it ended up like this
یک راست	directly
حرف‌های کلثوم ننه‌ای	Victorian talk
قند تو دل کسی آب شدن	to anticipate joyfully and impatiently, to have butterflies
به آب و آتش زدن	to go through fire and water, to pull out all the stops
سوپر مارکت سر گذرشان	their supermarket around the corner / down the street
نان و آبش هم مرتب باشد	he has regular food on the table (i.e., a steady income)
Hayf	Too bad, what a pity, shame
تسلیت و تعزیت	(to offer) condolences and (to wish) patience
او پقی می زد به خنده	he suddenly burst out laughing, he suddenly burst into laughter
پشت دستش را گاز می گرفت	Bit the back of his hand (a gesture)
آدم خیال می کرد	one would think that, one would assume that, one would imagine that
سرجای همیشگی خودشان می نشستند	they would sit in their usual spot
داشت پر می شد	was filling up, was about to be filled
رخت خواب	bedding
شب روضه هفتگی	night of (our) weekly prayer meeting
صم بکم	deaf and mute
زبان بریده به کنجی نشسته	sitting in a corner with one's tongue cut off (speechless)
به از کسی که نباشد زبانش اندرحکم	is better than a man who has no control over his tongue
ملت ما یک مطلبش این بود	our nation has believed that, one of our nation's arguments was that
به نقش آفرینی پرداختن	to play an effective role
حراست مراسم	event security, ceremony security
به‌ما‌هو	per se
زیور طبع یافتن	to publish
Tan be... dadan	To accede to, to yield to
حاشیه سازی	casting doubts and spreading rumors; marginalization
فرضا	for example
کلید خوردن	To launch, to start
Dar shorof-e... budan	To be about to do something
مگه داریم٬ مگه میشه	We don't have any, do we?
سیاه بازی	cover-up, show, farce, vaudeville
شب ریختن تو خونش	raid their houses at night, rush to their homes
تو یه کاسست	in bed together (lit. in the same bowl)
(بلانسبت (بلا نسبت شما	present company excluded
نون به نرخ روز خوردن	To blow with the wind, to bend with the wind
بشکنه اين دست كه نمک نداره	no good deed goes unpunished
بیب رسانه ای	Bleep (sound)
یه زمون	There was a time when...
از مسلمانان رو بر میگرداند	turns his back on Muslims
شروط ضمن عقد	articles of marriage
Kheyr-e saram	Silly me, poor me, stupid me
Chakhan pakhan	Bullshit, cock and bull story
Pedaram daramade	I'm worn out; I've had a hard time of it
mahz-e nemune	as an example, for example
Deh behtar	All the better; better, duh!
Man rad sham	Let me pass, let me through
gol pesar	good boy
سکونتگاه های روستایی	Rural settlements
Engar na engar	It's as if nothing; like talking to the wall
Kandan	To peel off, to remove
برون شهری	intercity/nonurban
تشبیه	simile
عالِم ربانی	divine sage
گواهی نامه هنری	art certificate
فیش	pay slip
بلبل زبونی	amusing chatter, glib talk
حسابی طالب	really enthusiastic about, truly eager for
peef peef kardan	to grumble while eating
velo-and	scattered all over
vanet	pick-up truck
Gor gereftan	To flare up; to feel like one is on fire
khat o neshun keshidan	to draw a line in the sand
Kheyli am agha id	You're a real guy/gentleman
دایر است	is up and running
Madar nazaydeh	the man hasn't been born yet who can...
Damet garm	Good job, well done, nice move, way to go
Kharesh bishtar mire	He has more influence; he carries more weight (he can pull strings / has connections)
Qabel-e nadare	You're welcome, don't mention it, it's on me
Adashe	He is acting/pretending
az dahn mioftad	it's getting cold/unpalatable
Ba man kal kal nakon	Don't mess with me
Dam bar avardan	To exhale
khodeshe	it's him / her
tof bar...	damn... (lit., spit on)
ما هواتو داریم	We've got your back
ابو قراضه	wreck, piece of junk, clunker
Khod kefah	Self-sufficient, independent
Vaghtetun bekheyr	Good morning/good afternoon/good evening
ادب مرد به ز دولت اوست	A man's manners are more important than how he runs his government
be man kheyli eradat dasht	he was so respectful / kind to me
چون گردکان بر گنبدست	like putting a walnut on a dome (useless because it rolls and falls off)
چندان که	as, until, as long as
واقعه دیده	experienced
برین نسق	in this way or manner
به حکم آنکه	Because, since
محالست	(It) Is impossible
در آن قرب	In the vicinity of, in the proximity of
گمان مبر	Do not consider...; do not assume...
به جا آوردن	To understand, to interpret, to recognize
آهنگ رفتن کردن	to decide to go, to be about to go, to want to go
چو	when
روی هم رفته	Overall, altogether, all in all
سر	head
خداییش	by God
Zol zadan	To stare, to gaze, to glare
تا حساب کار دستت بیاد	so you will know which end is up / who's in charge / what's what (lit. so you will receive the bill for the work)
چرا هلم میدی؟	Why are you pushing me?
برگ چغندر	A nobody, worthless (chopped liver)
سرای باقی	the afterlife, other world
چه بسا	Probably, likely, perhaps, maybe
بر خود حرام کردن	to stop or forbid oneself from doing something; to deny oneself
چشمه سار زلال	A clear spring
عوامل اجرایی	agents of enforcement, enforcement agents, administrative officials
پیکر نیمه جان	Half-dead body
خروارها خاک	Piles and piles of dirt / soil
تا ابد سیراب	forever quenched
درد آشنایان	those intimately familiar with a problem
داغ و حسرت	great pain and regret
در منای	in view of
تکاور گارد	Commando guard(sman)
جون عمه ات	for goodness' sake, swear on your life (used when you are telling someone how important it is to do or not to do something)
چه صیغه ایه	What the hell is...?
ناقصل عقل	Dummy, dimwit
ماست مالی	Whitewash, cover-up
کاسه ای زیر نیم کاسه است	I smell a rat; there's something fishy going on
درد و دل کردن	To have a heart-to-heart, to unburden yourself to someone
خالی بند	bullshitter, liar
جوگیر نشین	Don't get carried away
روی حرف کسی حرف زدن	to oppose someone's word or command; to countermand someone
عوضی‌ ها عوض نمی‌ شوند	jerks don't change; once a jerk, always a jerk
گلستون میشه	become a utopia
به یه نون و نوایی رسیدن	to make a lot of money; to make a mint
امیدواریم به پای هم پیرشین	We hope you grow old together (congratulations on a wedding)
واسه	For
زیاد کردن پیاز داغ قضیه	To exaggerate the truth; to dramatize
کره خر	Young donkey (foal)
یهو بغلی	Suddenly the person next to me...
آب دستته بذار زمین و بیا اینجا	Hurry up and come here as soon as possible
یک بستی زدن	to have a toke (of opium)
مایه تیله	money (bread / lettuce)
بكش كنار بذار باد بياد	get out of my way, move over and gimme room
وسایل ارتباط جمعی	mass media, mass communication
دهانش قرص نیست	He can't keep his mouth shut
بتمرگ سر جات	Sit your ass down
زشته فش (فحش) نده	swearing is not appropriate, don't swear, watch your tongue
دلقک نشو	Don't be a clown
خرتم به علی	I'm your humble servant
پیر و پاتال	old and decrepit
اقتصاد مال خره	Economics is for/belongs to the stupid person (lit. the donkey)
پدرسوخته بازی	Mischief, shenanigans
پاشو بیا	get up and c'mon over
استوانه نظام بودن	To be a pillar of the Islamic regime (lit. to be the regime's cylinder)
دوره های تکمیلی تخصصی	fellowship programs
Be in mofti?	Just like that? / So easily?
گذاشتی تو خال حساس من	Now you're getting on my nerves
اندر احوالات	On/about the conditions/qualities of...
سکه گرمی	One gram (gold) coin
نیم سکه	Half (gold) coin
ربع سکه	Quarter (gold) coin
مرگ آفرین	Deadly, lethal/mortal
Man fatehasham miferestam	I will recite Fatiha for him
Khoda rahmatesh kone	May God have mercy on him
مار زخمی	One seeking revenge (lit. a wounded snake)
تأثرات ما زیاد است	We have so many sufferings/afflictions
به درد خوردن	To come in handy; to be useful / of benefit
مایی که	We (are the people) who...
امداد غیبی	Invisible blessings/help from God (lit. unseen help)
Semat-e rasmi	Official position
روحش شاد باشه	May he rest in peace (lit. may his soul be happy)
Jamun tang-e	Our space is tight/cramped
پشتکار داشتن	To persevere
سکه یه پول کردن	to humiliate someone
وسط کشیدن	To weigh
Zan-e aaghel	Wise woman
خونه دار	homeowner/landlord
چند و چون	details/circumstances of
بازی قایم موشک	hide-and-seek
خاصیتی داشتن	To be effective, to be of use
برخورده باشید	you will come across / see that
Kofreh eblis	Notorious (lit. the curse of the devil)
موارد زیادی را شرط کردن	to set many conditions/criteria
جمله اعجازآمیزی	a wondrous/miraculous saying
با این حال	However, nevertheless, despite this
عمق بخشیدن	To deepen
آشغال	shit, rubbish, bitch
ترکش خوردن	To be hit by pieces of shrapnel
!اجرتو از بین نبر	Don't blow your (heavenly) reward!
ازینجا خلاص شم	so I can get out of here
آزادمرد آزادمردان	freeman among freemen, freeman of freemen
سر تسلیم فرود آوردن	to bow (one's head) in submission / surrender, to bow and scrape
و با این همه	and yet, however, nevertheless
پاس داشتن	cherish (the memory of); commemorate/celebrate
سر ستایش فرود آوردن	bow to ... in praise / gratitude
الکی پلکی	bogus schmogus / nonsense schmonsense, gibberish
حال را گرفتن	to turn someone off, to rub someone the wrong way, to bother / annoy someone
امقی	عمقی (depth)
شرومیشه	شروع میشه (begins)
انگشت به لانه زنبور کردن	to kick / stir up the hornet's nest
حرف دو تا نشدن	To stick to one's guns / to refrain from changing one's mind
در به در کردن	To stray/wander (lit. to go from door to door)
شه	شود (becomes)
همه دار و ندارم	all I have / own, all my assets
وطن پرست	Patriotic
...با این نگاه نحست (نحس ات) خواهی دید که	with your sinister looks you will see that...
...فکرشو بکن بیست دقیقه دیگه	Imagine, twenty minutes from now...
به افتخار مرام و مسلک	in honor of ...'s ideology and principles
Show me your face	سرتو بیار بالا ببینیم
بد اخلاق	Ungracious, bad-tempered
خیلی مخلصم	great to see you, pleasure to see you (lit. I am devoted to you)
بر کسی پاپوش دوختن	to frame someone, to bring false charges against someone
سر دامبی کردن	to bang, thump, thrash one's head
بازشکافی	re-opening (of a case/file/investigation)
از کنار هر کس	I will kill whoever lets it get past/by him
